"","Title","First.Author.First.Name","First.Author.Surname","Corresponding.Author.First.Name","Corresponding.Author.Surname","Corresponding.Author.Order","Publication.Name","Alternate.Name","Abstract","Url","Author.Address","Year","DOI","Reference.Type","PDF.Relative.Path","Keywords","DecisionD20B5387.E6A8.4722.8A03.956452790272","Decision5DFF96A2.71AF.48E1.A92A.EB6AEFBF7BAE"
"381","Triphenylphosphonium moiety modulates proteolytic stability and potentiates neuroprotective activity of antioxidant tetrapeptides in vitro",NA,NA,NA,NA,NA,"Triphenylphosphonium moiety modulates proteolytic stability and potentiates neuroprotective activity of antioxidant tetrapeptides in vitro","Frontiers in Pharmacology","Although delocalized lipophilic cations have been identified as effective cellular and mitochondrial carriers for a range of natural and synthetic drug molecules, little is known about their effects on pharmacological properties of peptides. The effect of triphenylphosphonium (TPP) cation on bioactivity of antioxidant tetrapeptides based on the model opioid YRFK motif was studied. Two tetrapeptide variants with L-arginine (YRFK) and D-arginine (YrFK) were synthesized and coupled with carboxyethyl-TPP (TPP-3) and carboxypentyl-TPP (TPP-6) units. The TPP moiety noticeably promoted YRFK cleavage by trypsin, but effectively prevented digestion of more resistant YrFK attributed, respectively, to structure-organizing and shielding effects of the TPP cation on conformational variants of the tetrapeptide motif. The TPP moiety enhanced radical scavenging activity of the modified YRFK in a model Fenton-like reaction, whereas decreased reactivity was revealed for both YrFK and its TPP derivative. The starting motifs and modified oligopeptides, especially the TPP-6 derivatives, suppressed acute oxidative stress in neuronal PC-12 cells during a brief exposure similarly with glutathione. The effect of oligopeptides was compared upon culturing of PC-12 cells with CoCl<inf>2</inf>, L-glutamic acid, or menadione to mimic physiologically relevant oxidative states. The cytoprotective activity of oligopeptides significantly depended on the type of oxidative factor, order of treatment and peptide structure. Pronounced cell-protective effect was established for the TPP-modified oligopeptides, which surpassed that of the unmodified motifs. The protease-resistant TPP-modified YrFK showed the highest activity when administered 24 h prior to the cell damage. Our results suggest that the TPP cation can be used as a modifier for small therapeutic peptides to improve their pharmacokinetic and pharmacological properties. Copyright © 2018 Akhmadishina, Garifullin, Petrova, Kamalov and Abdullin.",NA,NA,2018,"http://dx.doi.org/10.3389/fphar.2018.00115",NA,NA,"354d454e-f585-49c4-ba73-47645e74c772",1,1
"382","Protective effect of 3-butyl-6-bromo-1(3H)-isobenzofuranone on hydrogen peroxide-induced damage in PC12 cells",NA,NA,NA,NA,NA,"Protective effect of 3-butyl-6-bromo-1(3H)-isobenzofuranone on hydrogen peroxide-induced damage in PC12 cells","Brain Research","Oxidative stress, an imbalance toward the prooxidant side of the prooxidant/antioxidant homeostasis, occurs in several brain neurodegenerative disorders. The protective effect of 3-butyl-6-bromo-1(3H)-isobenzofuranone (Br-NBP), a derivative compound of l-3-n-butylphthalide (NBP), on the hydrogen peroxide(H<inf>2</inf>O<inf>2</inf>)- induced oxidative damage was investigated in PC12 cells. Following exposure of the cells to H<inf>2</inf>O<inf>2</inf>, there was a significant reduction in cell survival,activities of glutathione peroxidase (GSH-px) and mitochondria membrane potential(MMP), in contrast, the increased levels in the leakage of lactate dehydrogenase (LDH), malondialdehyde (MDA) contents, nitric oxide (NO) productions, intracellular reactive oxygen species (ROS), intracellular Ca<sup>2+</sup> concentration ([Ca <sup>2+</sup>]<inf>i</inf>), as well as cell apoptosis were observed. However, pretreatment of cells with Br-NBP prior to H<inf>2</inf>O<inf>2</inf> exposure attenuated all the changes mentioned above in a concentration-dependent manner except no effect on activities of GSH-px. Br-NBP exhibited the protective effect against H<inf>2</inf>O<inf>2</inf>-induced cytotoxicity in PC12 cells, suggesting that the compound may be a potential therapeutic agent for diseases induced by oxidative damage. © 2010 Elsevier B.V. All rights reserved.",NA,NA,2010,"http://dx.doi.org/10.1016/j.brainres.2010.08.043",NA,NA,"35669813-22ff-4ab8-b7c1-b0f6cb9cdd0b",1,1
"383","Regulation of antioxidant enzyme expression by NGF",NA,NA,NA,NA,NA,"Regulation of antioxidant enzyme expression by NGF","Neurochemical Research","The rapid decreases in viability seen in H<inf>2</inf>O<inf>2</inf>-treated PC12 cells reflect enhanced susceptibility of neural cell types to oxidant injury. The dose-response relationship between NGF concentration and survival after H<inf>2</inf>O<inf>2</inf> treatment resembles that for NGF effects on PC12 survival in serumless medium. Previously we have shown that NGF treatment enhances the activity of GSH-Px and catalase which catalyze the degradation of H<inf>2</inf>O<inf>2</inf>. Here in order to ascertain whether NGF stimulates transcription, affects mRNA stability, or acts post-transcriptionally, we measured catalase and GSH-Px mRNA half- lives. While both catalase and GSH-Px transcripts are stable with a relatively long half life and a gradual decay in mRNA levels, NGF had different effects on their stability. NGF had marked effects on catalase mRNA stability. The catalase gene has a 3' flanking region with T-rich clusters and CA repeats known to be susceptible to regulation by destabilization or ubiquination. NGF maintained catalase mRNA levels of actinomycin D (ACT-D) treated PC12 cells at twice that of cells exposed to ACT-D alone, delaying the rate of decay for catalase mRNA for 24 h. The NGF induction of GSH-Px and catalase mRNA was inhibited by cycloheximide (CHX) treatment with a slight decrease in their mRNA levels due to prolonged exposure to CHX. When the CHX treatment was delayed relative to the NGF treatment there was no effect on NGF effects on catalase and GSH-Px. The GSH-Px gene has conserved sequences in the open reading frame and 3' untranslated region which forms a stem-loop structure necessary for the incorporation of Se into this selenoprotein. While Se is important in stabilizing GSH-Px transcripts, it did not affect transcription rates or mRNA stability. These results are consistent with the hypothesis that NGF regulates catalase and GSH-Px expression via a primary effect on transcription factor pathways.",NA,NA,1997,"",NA,NA,"35a9caf3-b221-438f-a222-86dd96e4e547",1,1
"384","Effect of nerve growth factor on lesioned PC12 cells",NA,NA,NA,NA,NA,"Effect of nerve growth factor on lesioned PC12 cells","Cell Biology International Reports","The protecting effect of nerve growth factor (NGF) from hydrogen peroxide was studied on PC12 cells conditioned at 1 mM hydrogen peroxide with NGF and without NGF in comparison with cells treated with neither hydrogen peroxide nor NGF. NGF treatment of PC12 cells increased significantly the activity of catalase representing induction of free radical detoxifying mechanisms. The protection effect of NGF was reflected also on enhanced activities of choline acetyltransferase (ChAT) and acetylcholinesterase (AChE) in the cells.",NA,NA,1991,"",NA,NA,"35cf38b5-a27e-46c9-9959-587296efbaf5",1,1
"385","[Protective effect of gangliosides against the toxic action of bacterial lipopolysaccharide of various serotypes on PC12 cells]",NA,NA,NA,NA,NA,"[Protective effect of gangliosides against the toxic action of bacterial lipopolysaccharide of various serotypes on PC12 cells]","Ross Fiziol Zh Im I M Sechenova","The effect of bacterial lipopolysaccharide (LPS) from E. coli on the viability of PC12 neuronal cell line was studied. LPS of 0111:B4 serotype and LPS of 055:B5 serotype were shown to have toxic effect on PC12 cells. But the toxic effect of LPS of 0127:B8 serotype was not revealed. Preincubation of PC12 cells with GM1 or GD1a gangliosides was found to diminish significantly the death of the cells and the formation of reactive oxygen species induced by LPS of 0111:B4 and 055:B5 serotypes in them. The protective effect of GM1 and GD1a was found not to depend on the presence of the inhibitor of Trk receptor tyrosine kinase in the medium, though activation of this protein kinase was previously shown to mediate the protective effect of gangliosides against the action of excitatory amino acids, pro-oxidants and other toxins on neurons and cells of neuronal cell lines. The protective effect of gangliosides against the LPS action on PC12 cells was similar to the effect of methyl-beta-cyclodextrin, which was shown to disturb cell membrane raft structure. The suggestion is put forward that the pronounced diminution of toxic effect of LPS on PC12 cells by gangliosides may be explained by the alteration of structural organization of lipid rafts caused by the incorporation of exogenous gangliosides in cell plasma membranes, which diminishes the translocation of TLR4 receptor into the rafts and their activation by LPS.",NA,NA,2013,"",NA,NA,"35df00de-2bd6-402d-b92c-8be77dfbc5e4",1,1
"386","Chinese herbal medicine formula tao hong si wu decoction protects against cerebral ischemia-reperfusion injury via PI3K/Akt and the Nrf2 signaling pathway",NA,NA,NA,NA,NA,"Chinese herbal medicine formula tao hong si wu decoction protects against cerebral ischemia-reperfusion injury via PI3K/Akt and the Nrf2 signaling pathway","","The Chinese herbal medicine formula Tao Hong Si Wu decoction (THSWD) is traditionally used for the prevention and treatment of ischemic stroke. Transcription factor NF-E2-related factor 2 (Nrf2) regulates a battery of phase II enzymes and is known as the major mechanism of cellular defense against oxidative stress. The present study aimed to explore the potential effect of THSWD on the Nrf2 signaling pathway and the consequent effect during cerebral ischemia-reperfusion (I/R) injury. We found that THSWD reduced infarct volume and improved neurological function in a rat stroke model induced by middle cerebral artery occlusion (MCAO). Additionally, heme oxygenase 1 (HO-1), a key endogenous antioxidant enzyme regulated by Nrf2, was significantly further induced by THSWD in this in vivo model. In neuronal-like PC12 cells, THSWD remarkably up-regulated HO-1 expression and promoted Nrf2 nuclear translocation. Furthermore, phosphatidylinositol 3-kinase (PI3K)/Akt kinase was found to be involved in the upstream of Nrf2 regulation. In an in vitro oxygen-glucose deprivation/reperfusion (OGD-Rep) model, THSWD treatment significantly reduced cell death induced by OGD-Rep insult. Importantly, the protective action was attenuated while PI3K activity was inhibited by a specific inhibitor, LY294002, and the Nrf2 signaling pathway was blocked by antioxidant response element (ARE) decoy oligonucleotides. Collectively, these results demonstrated that THSWD exhibited notable neuroprotective properties in vitro and in vivo and activation of PI3K/Akt and the Nrf2 signaling pathway may be, at least in part, responsible for the protection. This study provides a better understanding of the molecular mechanism underlying the traditional use of the Chinese herbal medicine formula THSWD.",NA,NA,2015,"10.1007/s11418-014-0865-5",NA,NA,"360070db-a5fe-4050-a310-134b3c5089a4",1,1
"387","Inhibition of serum deprivation-induced PC12 cell apoptosis by tanshinone II A",NA,NA,NA,NA,NA,"Inhibition of serum deprivation-induced PC12 cell apoptosis by tanshinone II A","Acta Pharmacologica Sinica","AIM: To study the effect of tanshinone II A (TanII A) on PC12 cell apoptosis induced by serum deprivation. METHODS: PC12 cell survival was measured by MTT assay. The DNA content and percentage of apoptosis were monitored by flow cytometry and DNA fragmentation was analyzed by agarose gel electrophoresis. RESULTS: Serum-free (12 h) medium induced apoptosis in PC12 cells. When the cells had been treated with Tan II A (0.1 and 1 mumol.L<sup>-1</sup>) for 12 h , the percentage of PC12 cell apoptosis was greatly decreased to 25.71 % and 4.89 % from 96.07 % in serum deprivation alone group, and DNA fragmentation was prevented. Tan II A (0.01- 10 mumol.L<sup>-1</sup>) attenuated the cytotoxic effect of sodium cyanide (20 mmol.L<sup>-1</sup>), glutamate (0.5 mmol.L<sup>-1</sup>), and sodium nitroprusside (0.5 mmol.L<sup>-1</sup>). CONCLUSION: Tan II A prevented PC12 cells from apoptosis induced by serum-free medium.",NA,NA,2001,"",NA,NA,"361bcd82-5dd4-4380-b7ae-d745f1893ba5",1,1
"388","Identifying monoaminergic, GABAergic, and cholinergic characteristics in immortalized neuronal cell lines",NA,NA,NA,NA,NA,"Identifying monoaminergic, GABAergic, and cholinergic characteristics in immortalized neuronal cell lines","","We measured the concentration of neurotransmitters in immortalized neural cell lines of hippocampal, septal, brainstem and cerebellar origin. While in most of the cell lines, concentrations of monoamines, gamma-aminobutyric acid (GABA) and acetylcholine were low, in some they were markedly higher. This made it quite easy to identify possible monoaminergic, GABAergic or cholinergic cell lines. However all the cell lines contained glutamate and aspartate and there were no outstanding differences in levels of these amino acids differences between the cell lines. Deprivation of serum, which made the cells acquire a more differentiated morphology, caused an increase in the intracellular concentrations of some compounds and a switch from multiple to a single transmitter in the case of some cell lines. It suggested that measurement of transmitter concentrations combined with serum deprivation studies, may provide an indication of the neurochemical characteristics of immortalised neuronal cell lines.",NA,NA,1997,"",NA,NA,"364b07e8-cc02-49d6-9c52-3fd92f0bd680",1,1
"389","Red light promotion on the recovery of hydrogen peroxide pretreated differentiated PC12*",NA,NA,NA,NA,NA,"Red light promotion on the recovery of hydrogen peroxide pretreated differentiated PC12*","Lasers in Surgery and Medicine","Background: Cellular rehabilitation is of ten used to study the cytotoxicity of drugs or radiation. Its photobiomodulation with red light (640?lt;/SPAN > 15 nm) from light emitting diode array (RLED) will be studied in this paper. Study: The differentiated PC12 cells (dPC12) were subjected to hydrogen peroxide (H2O<inf>2</inf>) at 150 mmol/L for 0.5, 1, 3, 6 and 12 h, and then cultured in fresh media without H2O<inf>2</inf> for 0,1, 3, 6, 9, and 12 h, and then irradiated with RLED at dose[intensity (mW/cm<sup>2</sup>) @ irradiation time (min)], dose[0.06@10, 20, 40 and 60], or dose[0.03@40] , dose[0.06@20] , dose[0.12@10] and dose[0.145@5], respectively. The cell viability and apoptotic rate were assessed by ATP Assay Kit and FAScan flow cytometer, respectively. The mRNA expression of brain-derived neurotrophic factor (BDNF) and caspase-3 were assessed by reverse transcriptase polymerase chain reaction (RT-PCR). Results: dPC12 recovered from H2O<inf>2</inf> induced injury. The cell viability and apoptotic rate of irradiated dPC12 vs non-irradiated dPC12 were 87.92% vs 59.39% (P < 0.01), and 7.11% vs 15.39% (P < 0.01), respectively, 6 h after removal of H2O<inf>2</inf>, and the cell viability was 73.12% vs 41.61% (P < 0.01) 36 h after removal of H2O<inf>2</inf>. Among the different dosages of fixed dose (72 mJ/cm<sup>2</sup>)or fixed intensity (0.06 mW/cm<sup>2</sup>), the irradiation at dose[0.06@20] was the most effective to attenuate H2O<inf>2</inf>-induced ATP change (P < 0.01) or apoptosis change (P < 0.01). In dPC12 irradiated at dose[0.06@20], BDNF mRNA level increased to 4 fold (P < 0.05), the caspase-3 mRNA level decreased to 0.7 fold (P < 0.05) respectively, compared to non-irradiation group. Conclusion: RLED640 may promote the recovery of dPC12 from hydrogen peroxide preTreatment, which may be mediated by enhancing secretion of neurotrophic factors and down-regulating the apoptotic genes.",NA,NA,2010,"http://dx.doi.org/10.1002/lsm.20916",NA,NA,"365d2f6e-ae5f-4b5e-9ef6-aec3345cc3bd",1,1
"390","Involvement of sulfhydryl oxidase QSOX1 in the protection of cells against oxidative stress-induced apoptosis",NA,NA,NA,NA,NA,"Involvement of sulfhydryl oxidase QSOX1 in the protection of cells against oxidative stress-induced apoptosis","Experimental Cell Research","The QSOX1 protein, belonging to a new class of FAD-linked Quiescin/Sulfhydryl oxidase, catalyzes disulfide bond formation. To give new insight into the biological function of QSOX1, we studied its involvement in oxidative stress-induced apoptosis and cell recovery of PC12 cells. By real time RT-PCR and flow cytometric analysis, we show that the QSOX1 mRNA and protein levels increased late after the beginning of oxidative treatment and were sustained for 72 h. These levels were still high when the PC12 cells were not dying but had resumed proliferation. The kinetics of QSOX1 expression suggest a more protective effect of QSOX1 rather than an involvement of this protein in apoptosis. Human breast cancer MCF-7 cell lines overexpressing the guinea pig QSOX1 protein submitted to the same treatments appeared less sensitive to cell death than the MCF-7 control cells. The protective effect is partly due to a preservation of the mitochondrial polarization generally lost after an oxidative stress. These results strengthen our hypothesis of a protective role of QSOX1 against apoptosis. © 2007 Elsevier Inc. All rights reserved.",NA,NA,2007,"http://dx.doi.org/10.1016/j.yexcr.2007.09.003",NA,NA,"369620b3-649a-4457-b088-f6dcbd9c81d8",1,1
"391","Oxygen glucose deprivation model of cerebral stroke in PC-12 cells: Glucose as a limiting factor",NA,NA,NA,NA,NA,"Oxygen glucose deprivation model of cerebral stroke in PC-12 cells: Glucose as a limiting factor","Toxicology Mechanisms and Methods","Optimum time points for oxygen-glucose deprivation (OGD) and re-oxygenation have been identified to suggest the suitability of PC-12 cells as rapid and sensitive in vitro model of cerebral stroke. Further, the precise role of glucose as one of the limiting factors was ascertained. PC-12 cells were subjected to receive OGD of 1-8 h followed by re-oxygenation for 6 to 96 h in medium having glucose 0-10 mg/ml. Loss of cell viability was assessed using trypan blue dye exclusion and MTT assays. The significant (p < 0.05) reduction in percent viable cell count was started at 2 h of OGD (80.7 +/- 2.0) and continued in further OGD periods (3, 4, 5, 6, 7, and 8 h), i.e. 65.7 +/- 3.5, 59.7 +/- 4.6, 54.3 +/- 3.2, 44.7 +/- 2.9, 20.3 +/- 4.3, 5.7 +/- 2.0 of counted cells, respectively. Cells growing in glucose-free medium have shown a gradual (p < 0.001) decrease in cell viability throughout the re-oxygenation. Re-oxygenation of 24 h was found to be first statistically significant time point for all the glucose concentrations. Glucose concentration during re-oxygenation was found to be one of the key factors involved in the growth and proliferation in PC-12 cells. The OGD of 6 h followed by a re-oxygenation period of 24 h with 4-6 mg/ml glucose concentration could be recorded as optimum conditions under our experimental conditions. Copyright © Informa UK Ltd.",NA,NA,2009,"http://dx.doi.org/10.1080/15376510802355216",NA,NA,"36a05a91-4aeb-4dfc-acbc-f79c6cb0db8c",1,1
"392","Passage Variation of PC12 Cells Results in Inconsistent Susceptibility to Externally Induced Apoptosis",NA,NA,NA,NA,NA,"Passage Variation of PC12 Cells Results in Inconsistent Susceptibility to Externally Induced Apoptosis","ACS Chemical Neuroscience","The PC12 cell line is a widely used in vitro model for screening the neuroprotective activity of small molecule libraries. External insult due to serum deprivation or addition of etoposide induces cell death by apoptosis. While this screening method is commonly used in early stage drug discovery no protocol accounting for cell passage number effect on neuroprotective activity has been disclosed. We herein report that passage variation results in false-positive/false-negative identification of neuroprotective compounds; undifferentiated PC12 cells with high passage number are less sensitive to injury induced by serum-deprivation or etoposide treatment. In contrast, NGF differentiated PC12 cells of later passage number are more sensitive to injury induced by etoposide than lower passage number but only after 72 h. Passage number also affects the adherence phenotype of the PC12 cells, complicating screening assays. We report an optimized protocol for screening the neuroprotective activity of small molecules in PC12 cells, which accounts for passage number variations. Copyright © 2016 American Chemical Society.",NA,NA,2017,"http://dx.doi.org/10.1021/acschemneuro.6b00208",NA,NA,"3734e9dc-7f28-417a-9439-31e76271828a",1,1
"393","Pretreatment of rats with increased bioavailable berberine attenuates cerebral ischemia-reperfusion injury via down regulation of adenosine-5'monophosphate kinase activity",NA,NA,NA,NA,NA,"Pretreatment of rats with increased bioavailable berberine attenuates cerebral ischemia-reperfusion injury via down regulation of adenosine-5'monophosphate kinase activity","European Journal of Pharmacology","Berberine (BBR) exhibits multiple beneficial biological effects. However, poor bioavailability of BBR has limited its clinical application. We previously demonstrated that solid dispersion of BBR with sodium caprate (HGSD) remarkably improves its bioavailability. We examined whether this increased bioavailability of BBR could protect the brain from ischemia-reperfusion (IR) induced injury. Rats treated with HGSD, SC and saline for 7 days then subjected to cerebral ischemia reperfusion by middle cerebral artery occlusion for 2 h followed 12 h reperfusion. Neurological deficit scores, infarct size, SOD, MDA and NO levels were examined. P-AMPK, Bax, cleaved-Caspase-3 in brain was determined. To further probe for the mechanism of beneficial effect of HGSD, PC12 cells were incubated with serum from control or HGSD pretreated animals, incubated with 300 muM H<inf>2</inf>O<inf>2</inf> to induce apoptosis. Caspase-3 activity and cell apoptosis was evaluated. HGSD pretreatment significantly attenuated neurological deficit scores, reduced infarct size, increased SOD and decreased MDA and NO after cerebral IR injury compared to controls. Meanwhile, HGSD pretreatment significantly reduced expression of p-AMPK, Bax, cleaved-Caspase-3 after cerebral IR injury. Sodium caprate (100 mg/kg/d) pretreatment alone did not exhibit any of these beneficial effects. PC12 cell apoptosis was attenuated when cells were cultured with HGSD serum compared to control. The presence of AMPK activator (AICAR) attenuated whereas AMPK inhibitor (Compound C) augmented the protective effect of HGSD serum on PC12 cell apoptosis.The results indicate that HGSD-pretreatment of rats protects the brain from ischemia-reperfusion injury and the mechanism is due to its anti-apoptotic effect mediated by decreased activation of AMPK. Copyright © 2016 Elsevier B.V. All rights reserved.",NA,NA,2016,"http://dx.doi.org/10.1016/j.ejphar.2016.03.015",NA,NA,"375a5e26-2b54-4840-aca4-02953e31549b",1,1
"394","The neuroprotective actions of FK506 binding protein ligands: Neuronal survival is triggered by de novo RNA synthesis, but is independent of inhibition of JNK and calcineurin",NA,NA,NA,NA,NA,"The neuroprotective actions of FK506 binding protein ligands: Neuronal survival is triggered by de novo RNA synthesis, but is independent of inhibition of JNK and calcineurin","Molecular Brain Research","The immunosuppressant FK506 displays substantial neuroprotective and neuroregenerative effects. It is not fully understood to which extent these effects depend on the inhibition of the calcineurin phosphatase (PP2B). The present study has re-addressed this issue using Lie120, a novel highly specific inhibitor of calcineurin, which does not block the enzymatic activity of FKBPs or cyclophilins, respectively. We have determined the effect of FK506 (10-500 nM), V-10,367 (a FK506 derivative which does not block calcineurin; 1-5 muM) and Lie120 (a novel specific inhibitor of calcineurin, 0.1-5 muM) on the cellular survival and the pro-degenerative JNK activity of PC12 and Neuro2A cells following application of 200 muM H<inf>2</inf>O<inf>2</inf>. FK506 and V-10,367, but not Lie120, protected both cell lines against H<inf>2</inf>O<inf>2</inf>-mediated death, whereas an increase in JNK1 activity was blocked by FK506 and Lie120, but not by V-10,367. Co-incubation of FK506 and V-10,367 with the mRNA synthesis inhibitor actinomycin D abolished the protective effect of FK506 and V-10,367. This antagonization was effective when actinomycin D was applied 30 min or 1 h, but not 2 or 4 h, after H<inf>2</inf>O<inf>2</inf> suggesting that FKBP-ligands confer their neuroprotection by rapid de novo synthesis of (functionally) anti-apoptotic proteins. The search for the corresponding effector genes revealed that the expression of FKBP25, FKBP38 and FKBP52 (analysis by reverse transcription-polymerase chain reaction (RT-PCR) did not change following H<inf>2</inf>O<inf>2</inf> or FK506, and this was also true for the expression of apoptosis-related genes caspase 3, bax, bcl-2 and bcl-xL (analysis by Multiplex-PCR). Summarizing, neuronal protection by FKBP-ligands is not mediated either by calcineurin or by JNK1 in this experimental set-up, whereas the FK506 mediated inhibition of JNK1 is realized by the inhibition of calcineurin, an effective activator of JNK1 in neurons. © 2001 Elsevier Science B.V. All rights reserved.",NA,NA,2001,"http://dx.doi.org/10.1016/S0169-328X%2801%2900286-8",NA,NA,"37640182-e80a-4324-bfac-55a1978e27a9",1,1
"395","Nrdp1 Increases Ischemia Induced Primary Rat Cerebral Cortical Neurons and Pheochromocytoma Cells Apoptosis Via Downregulation of HIF-1alpha Protein",NA,NA,NA,NA,NA,"Nrdp1 Increases Ischemia Induced Primary Rat Cerebral Cortical Neurons and Pheochromocytoma Cells Apoptosis Via Downregulation of HIF-1alpha Protein","","Neuregulin receptor degradation protein-1 (Nrdp1) is an E3 ubiquitin ligase that targets proteins for degradation and regulates cell growth, apoptosis and oxidative stress in various cell types. We have previously shown that Nrdp1 is implicated in ischemic cardiomyocyte death. In this study, we investigated the change of Nrdp1 expression in ischemic neurons and its role in ischemic neuronal injury. Primary rat cerebral cortical neurons and pheochromocytoma (PC12) cells were infected with adenoviral constructs expressing Nrdp1 gene or its siRNA before exposing to oxygen-glucose deprivation (OGD) treatment. Our data showed that Nrdp1 was upregulated in ischemic brain tissue 3 h after middle cerebral artery occlusion (MCAO) and in OGD-treated neurons. Of note, Nrdp1 overexpression by Ad-Nrdp1 enhanced OGD-induced neuron apoptosis, while knockdown of Nrdp1 with siRNA attenuated this effect, implicating a role of Nrdp1 in ischemic neuron injury. Moreover, Nrdp1 upregulation is accompanied by increased protein ubiquitylation and decreased protein levels of ubiquitin-specific protease 8 (USP8) in OGD-treated neurons, which led to a suppressed interaction between USP8 and HIF-1alpha and subsequently a reduction in HIF-1alpha protein accumulation in neurons under OGD conditions. In conclusion, our data support an important role of Nrdp1 upregulation in ischemic neuronal death, and suppressing the interaction between USP8 and HIF-1alpha and consequently the hypoxic adaptive response of neurons may account for this detrimental effect.",NA,NA,2017,"10.3389/fncel.2017.00293",NA,NA,"376684e0-d249-4415-8c57-a97c4a8d0717",1,1
"396","Notoginsenoside R1-mediated neuroprotection involves estrogen receptor-dependent crosstalk between Akt and ERK1/2 pathways: A novel mechanism of Nrf2/ARE signaling activation",NA,NA,NA,NA,NA,"Notoginsenoside R1-mediated neuroprotection involves estrogen receptor-dependent crosstalk between Akt and ERK1/2 pathways: A novel mechanism of Nrf2/ARE signaling activation","Free Radical Research","Notoginsenoside R1 (NGR1), a novel phytoestrogen isolated from Panax notoginseng, has antioxidant and anti-apoptotic properties. Oxidative stress plays a pivotal role in neurodegenerative diseases. To mimic oxidative stress in neurons and explore the neuroprotection of NGR1, H2O2-induced neurotoxicity in NGF-induced differentiation of PC12 cells was used. In this study, NGR1 preconditioning provided neuroprotective effects via suppressing H2O2-induced the intracellular ROS accumulation, the increase in the product of lipid peroxidation (MDA), protein oxidation (protein carbonyl), and DNA fragmentation (8-OHdG), and mitochondrial membrane depolarization as well as caspase-3 activation. Moreover, NGR1 treatment alone potently increased the nuclear translocation of Nrf2, augmented ARE enhancer activity, and upregulated the expression and activity of phase II antioxidant enzymes including HO-1, NQO-1, and gamma-GCSc. NGR1 could also increase the ERE activity and activate Akt and ERK1/2 pathways. NGR1-mediated activation of Nrf2/ARE signaling and neuroprotection were abolished by genetic silencing of Nrf2 using siRNA or the pharmacological blockade of estrogen receptors using ICI-182780, and partially inhibited by Akt siRNA or ERK siRNA transfection. In addition, the phosphorylation of ERK1/2 mediated by NGR1 was markedly inhibited in PC12 cells transfected with Akt siRNA. On the contrary, ERK1/2 siRNA transfection hardly had any effect on the phosphorylation of Akt mediated by NGR1. NGR1-mediated activation of Akt and ERK1/2 pathways was blocked by ICI-182780. In conclusion, NGR1 provided neuroprotection via inducing an estrogen receptor-dependent crosstalk between Akt and ERK1/2 pathways, subsequently activating Nrf2/ARE signaling and thereby up-regulating phase II antioxidant enzymes. © 2014 Informa UK, Ltd.",NA,NA,2014,"http://dx.doi.org/10.3109/10715762.2014.885117",NA,NA,"379c22e6-d00b-49ef-9b6d-a103abba5c55",1,1
"397","Icarin levels using HPLC/MS and antioxidant and neuronal PC12 cell protective effects from epimedium koreanum on hydrogen peroxideinduced oxidative damage",NA,NA,NA,NA,NA,"Icarin levels using HPLC/MS and antioxidant and neuronal PC12 cell protective effects from epimedium koreanum on hydrogen peroxideinduced oxidative damage","FASEB Journal. Conference: Experimental Biology","In this study, the wild Epimedium koreanumare analyzed for Icarin using HPLC. The antioxidant and neuronal cell protective activities of Epimedium koreanum extract and its bioactive flavonoid, Icarin was investigated for utilization as health functional food. The results of three antioxidant assays (via azinobisethyl-benzothiazoline- 6-sulphonic acid radical scavenging (ABTS), diphenyl-2- picrylhydrazyl (DPPH) and ferric reducing antioxidant power (FRAP) assay) showed that activities increased in a dose-dependent manner. The protective effect against H2O2-induced oxidative damage on PC 12 cell was investigated by measuring cell viability via 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT). The extract of Epimedium koreanum and Icarin also presented protective effects against H2O2-induced neurotoxicity in a dose-dependent manner. The activities were dependent on the actual concentration of Icarin. This study verified that Epimedium koreanum extract and Icarin have strong antioxidant and neuronal protective effects. Therefore, Epimedium koreanum extract and Icarin can be promoted as effective functional food substances, i.e., natural antioxidants, and may reduce the risk of neurodegenerative disorders such as Alzheimer's disease.",NA,NA,2015,"",NA,NA,"37a5b0e1-fb22-48d9-89fb-b96b8ad95240",1,1
